,ZIP,protected,not_protected,bin
3893,85053,0.256,0.744,"(0.139, 0.278]"
3904,28081,0.094,0.906,"(0.083, 0.139]"
3906,15010,0.016,0.984,"(0.012, 0.022]"
3907,39466,0.046,0.954,"(0.036, 0.054]"
3912,48507,0.023,0.977,"(0.022, 0.036]"
3925,80234,0.275,0.725,"(0.139, 0.278]"
3928,76087,0.115,0.885,"(0.083, 0.139]"
3948,22041,0.309,0.6910000000000001,"(0.278, 1.0]"
3960,19050,0.036,0.964,"(0.022, 0.036]"
3974,97214,0.073,0.927,"(0.054, 0.083]"
3983,23518,0.087,0.913,"(0.083, 0.139]"
3996,2115,0.146,0.854,"(0.139, 0.278]"
4016,11570,0.107,0.893,"(0.083, 0.139]"
4019,14424,0.051,0.949,"(0.036, 0.054]"
4027,2889,0.066,0.934,"(0.054, 0.083]"
4034,77833,0.198,0.802,"(0.139, 0.278]"
4041,21146,0.031,0.969,"(0.022, 0.036]"
4052,37055,0.047,0.953,"(0.036, 0.054]"
4061,34266,0.365,0.635,"(0.278, 1.0]"
4075,33544,0.24,0.76,"(0.139, 0.278]"
4098,16602,0.021,0.979,"(0.012, 0.022]"
4130,64014,0.074,0.926,"(0.054, 0.083]"
4134,31794,0.12,0.88,"(0.083, 0.139]"
4156,48602,0.185,0.815,"(0.139, 0.278]"
4173,1923,0.055,0.945,"(0.054, 0.083]"
4190,22102,0.081,0.919,"(0.054, 0.083]"
4210,54303,0.084,0.916,"(0.083, 0.139]"
4219,73533,0.105,0.895,"(0.083, 0.139]"
4231,72015,0.037,0.963,"(0.036, 0.054]"
4240,98188,0.181,0.819,"(0.139, 0.278]"
4246,52804,0.105,0.895,"(0.083, 0.139]"
4247,16335,0.016,0.984,"(0.012, 0.022]"
4279,55126,0.035,0.965,"(0.022, 0.036]"
4282,19802,0.062,0.938,"(0.054, 0.083]"
4308,78332,0.857,0.143,"(0.278, 1.0]"
4316,20879,0.297,0.7030000000000001,"(0.278, 1.0]"
4325,48085,0.013,0.987,"(0.012, 0.022]"
4332,6118,0.296,0.704,"(0.278, 1.0]"
4349,22182,0.085,0.915,"(0.083, 0.139]"
4362,55446,0.036,0.964,"(0.022, 0.036]"
4370,79601,0.25,0.75,"(0.139, 0.278]"
4372,7675,0.129,0.871,"(0.083, 0.139]"
4382,30533,0.051,0.949,"(0.036, 0.054]"
4392,1905,0.413,0.587,"(0.278, 1.0]"
4401,79934,0.591,0.409,"(0.278, 1.0]"
4405,92411,0.804,0.1959999999999999,"(0.278, 1.0]"
4428,75082,0.075,0.925,"(0.054, 0.083]"
4440,3054,0.05,0.95,"(0.036, 0.054]"
4443,53593,0.025,0.975,"(0.022, 0.036]"
4446,33584,0.247,0.753,"(0.139, 0.278]"
4448,33703,0.085,0.915,"(0.083, 0.139]"
4449,45750,0.01,0.99,"(0.002, 0.012]"
4450,33967,0.236,0.764,"(0.139, 0.278]"
4456,29115,0.023,0.977,"(0.022, 0.036]"
4466,4106,0.0289999999999999,0.971,"(0.022, 0.036]"
4479,18062,0.072,0.928,"(0.054, 0.083]"
4482,97035,0.0579999999999999,0.942,"(0.054, 0.083]"
4488,98626,0.094,0.906,"(0.083, 0.139]"
4491,63379,0.031,0.969,"(0.022, 0.036]"
4494,63755,0.018,0.982,"(0.012, 0.022]"
4495,2905,0.441,0.5589999999999999,"(0.278, 1.0]"
4504,78731,0.114,0.886,"(0.083, 0.139]"
4513,95618,0.172,0.8280000000000001,"(0.139, 0.278]"
4522,46545,0.062,0.938,"(0.054, 0.083]"
4526,2132,0.089,0.911,"(0.083, 0.139]"
4528,76132,0.174,0.8260000000000001,"(0.139, 0.278]"
4539,10954,0.14,0.86,"(0.139, 0.278]"
4542,84040,0.094,0.906,"(0.083, 0.139]"
4556,27539,0.1,0.9,"(0.083, 0.139]"
4559,98516,0.091,0.909,"(0.083, 0.139]"
4584,48340,0.308,0.692,"(0.278, 1.0]"
4591,92860,0.346,0.6539999999999999,"(0.278, 1.0]"
4593,35806,0.042,0.958,"(0.036, 0.054]"
