ZIP,protected,not_protected,bin
91761,0.688,0.31200000000000006,"(0.278, 1.0]"
92223,0.435,0.565,"(0.278, 1.0]"
34744,0.6409999999999999,0.3590000000000001,"(0.278, 1.0]"
29485,0.051,0.949,"(0.036, 0.054]"
10473,0.631,0.369,"(0.278, 1.0]"
44060,0.025,0.975,"(0.022, 0.036]"
75126,0.2,0.8,"(0.139, 0.278]"
7111,0.096,0.904,"(0.083, 0.139]"
92020,0.266,0.734,"(0.139, 0.278]"
23320,0.08900000000000001,0.911,"(0.083, 0.139]"
23456,0.07200000000000001,0.9279999999999999,"(0.054, 0.083]"
78664,0.324,0.6759999999999999,"(0.278, 1.0]"
94122,0.09699999999999999,0.903,"(0.083, 0.139]"
92346,0.535,0.46499999999999997,"(0.278, 1.0]"
85033,0.825,0.17500000000000004,"(0.278, 1.0]"
78250,0.6709999999999999,0.32900000000000007,"(0.278, 1.0]"
98208,0.124,0.876,"(0.083, 0.139]"
28173,0.064,0.9359999999999999,"(0.054, 0.083]"
10009,0.245,0.755,"(0.139, 0.278]"
10460,0.6659999999999999,0.3340000000000001,"(0.278, 1.0]"
78665,0.256,0.744,"(0.139, 0.278]"
19149,0.27399999999999997,0.726,"(0.139, 0.278]"
20148,0.077,0.923,"(0.054, 0.083]"
92071,0.201,0.7989999999999999,"(0.139, 0.278]"
93458,0.8740000000000001,0.1259999999999999,"(0.278, 1.0]"
29445,0.107,0.893,"(0.083, 0.139]"
94087,0.08199999999999999,0.918,"(0.054, 0.083]"
92507,0.525,0.475,"(0.278, 1.0]"
78253,0.501,0.499,"(0.278, 1.0]"
91732,0.648,0.352,"(0.278, 1.0]"
85008,0.5589999999999999,0.44100000000000006,"(0.278, 1.0]"
96818,0.125,0.875,"(0.083, 0.139]"
91770,0.3,0.7,"(0.278, 1.0]"
95670,0.19699999999999998,0.803,"(0.139, 0.278]"
92570,0.7809999999999999,0.21900000000000008,"(0.278, 1.0]"
90042,0.5870000000000001,0.4129999999999999,"(0.278, 1.0]"
22192,0.172,0.8280000000000001,"(0.139, 0.278]"
85345,0.364,0.636,"(0.278, 1.0]"
21222,0.11800000000000001,0.882,"(0.083, 0.139]"
90004,0.47,0.53,"(0.278, 1.0]"
95355,0.313,0.687,"(0.278, 1.0]"
19134,0.508,0.492,"(0.278, 1.0]"
22554,0.151,0.849,"(0.139, 0.278]"
11225,0.10300000000000001,0.897,"(0.083, 0.139]"
79924,0.72,0.28,"(0.278, 1.0]"
53215,0.682,0.31799999999999995,"(0.278, 1.0]"
7030,0.154,0.846,"(0.139, 0.278]"
30253,0.076,0.924,"(0.054, 0.083]"
21117,0.066,0.9339999999999999,"(0.054, 0.083]"
76137,0.235,0.765,"(0.139, 0.278]"
37129,0.039,0.961,"(0.036, 0.054]"
75149,0.46799999999999997,0.532,"(0.278, 1.0]"
55106,0.105,0.895,"(0.083, 0.139]"
30263,0.09300000000000001,0.907,"(0.083, 0.139]"
55044,0.051,0.949,"(0.036, 0.054]"
